the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E610000006F4C29D0BAB54C0139D6516A1382440,En route,Fuerza Aérea Argentina,69,off Puerto Limon,Costa Rica,sea,"November 3, 1965",Military,Balboa-Howard air force base in Panama,Comalapa International Airport in El Salvador,19651103-0,Douglas C-54 (DC-4),,19651103-0,2003-11-01,1965,1,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000006AF816D68D4F45C0268BFB8F4CD14540,En route,Continental Air Transport,3,unknown area,Atlantic Ocean,sea,"March 9, 1969",Cargo,Halifax International Airport in Canada,Santa Maria-Vila do Porto Airport in the Azores,19690309-0,Douglas DC-4,,19690309-0,2009-03-01,1969,2,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000A1BAB9F8DB5055C0E19524CFF5752A40,En route,LANICA,3,unknown area,Nicaragua,land,"August 14, 1952",Cargo,Bonanza,"Managua, within Nicaragua",19520814-1,Douglas C-47 (DC-3),,19520814-1,2014-08-01,1952,3,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000055A52DAEF1C662C0FB2477D844663A40,En route,Trans National Airlines,2,"off Honolulu, HI",USA,sea,"July 20, 1979",Ferry/positioning,San Jose Municipal Airport in California,Honolulu International Airport in Hawaii,19790720-2,Douglas DC-3,0,19790720-2,2020-07-01,1979,4,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000F4FA93F8DC09CE3FC6F8307BD976D5BF,En route,Renan,5,between Abidjan and Rundu,Atlantic Ocean,sea,"December 22, 1997",Cargo,"Port Bouet Airport, Ivory Coast,",Rundu Airport in Namibia,19971222-1,Antonov 72,0,19971222-1,2022-12-01,1997,5,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000028B517D176FB5940700B96EA02BA3240,En route,Royal Air Lao,23,between Savannakhet and Vientiane,Laos,land,"February 11, 1972",Domestic Scheduled Passenger,Savannakhet Airport,"Vientiane-Wattay Airport, within Laos",19720211-0,Douglas DC-4,,19720211-0,2011-02-01,1972,6,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000094F8DC09F697244030A182C30B62F3BF,Unknown,Force Aérienne Gabonaises,3,unknown area,Gabon,land,"December 11, 2000",Military,Libreville Airport,"Tchibanga Airport, within Gabon",20001211-0,Embraer 110P1K Bandeirante,0,20001211-0,2011-12-01,2000,7,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000002F6EA301BCC65A406D37C1374D1FE03F,Unknown,Dirgantara Air Services,3,off Batu Island,Indonesia,sea,"June 25, 1992",Ferry/positioning,Seletar Airport in Singapore,"Supadio Airport, Indonesia",19920625-2,CASA/Nurtanio NC-212-A4 Aviocar,0,19920625-2,2025-06-01,1992,8,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000021E868554B1A49C08FC70C54C6894640,En route,Faucett,18,290 km SE off Newfoundland,Atlantic Ocean,sea,"September 11, 1990",Ferry/positioning,Keflavík International Airport in Iceland,Gander Airport in Newfoundland,19900911-0,Boeing 727-247,0,19900911-0,2011-09-01,1990,9,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000018EDF1423A665240A852B3075A834140,En route,PIA,54,between Gilgit and Islamabad,Pakistan,land,"August 25, 1989",Domestic Scheduled Passenger,Gilgit,"Islamabad, within Pakistan",19890825-1,Fokker F-27,0,19890825-1,2025-08-01,1989,10,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000002C465D6BEF0C51C08DD13AAA9A502FC0,En route,Aerolineas La Paz,5,between La Paz and Apolo,Bolivia,land,"January 17, 1989",Domestic Non Scheduled Passenger,La Paz-El Alto Airport,"Apolo Airport, within Bolivia",19890117-1,Douglas DC-3,0,19890117-1,2017-01-01,1989,11,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000CEC47421569252C0658C0FB3970D0D40,En route,Fuerza Aérea Colombiana,8,between Villavicencio and Neiva,Colombia,land,"August 30, 1988",Military,Villavicencio Airport,"Neiva Airport, within Colombia",19880830-1,Douglas AC-47B (DC-3),0,19880830-1,1930-08-01,1988,12,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000213EB0E3BF735F404835ECF7C4DA1A40,En route,Village Airways,4,off Davao,Philippines,sea,"October 31, 1984",Cargo,Davao-Mati Airport,Manila International Airport within the Philippines,19841031-0,Douglas DC-3,0,19841031-0,1931-10-01,1984,13,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000219221C7D69E52C0AB5CA8FC6B590D40,En route,Fuerza Aérea Colombiana,4,within Valle or Caldas Department,Colombia,land,"February 21, 1983",Military,Puerto Leguizamo,"Cali Airport, within Colombia",19830221-0,Douglas DC-3,0,19830221-0,2021-02-01,1983,14,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000389F3A56293DFA3F66868DB27EF34340,En route,Hémet Exploration,4,"off Mallorca, Spain",Mediterranean Sea,sea,"April 21, 1981",International Non Scheduled Passenger,Oran-es Senia Airport in Algeria,Toulouse-Blagnac Airport in France,19810421-0,Douglas DC-3,0,19810421-0,2021-04-01,1981,15,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000A2B437F8C2124EC0EC4FE27327502940,En route,Air Inuit,3,"75 km SW off Bridgetown, Barbados",,sea,"March 17, 1979",Ferry/positioning,Georgetown-Timehri International Airport in Barbados,unknown airport,19790317-0,de Havilland Canada DHC-4A Caribou,0,19790317-0,2017-03-01,1979,16,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000AA29C93A1C8352C00778D2C265C523C0,En route,Aeronaves del Peru,6,unknown area,Peru,land,"August 28, 1976",Cargo,Lima-Callao International Airport in Peru,Caracas Airport in Venezuela,19760828-0,Canadair CC-106 Yukon,0,19760828-0,2028-08-01,1976,17,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000000ADCBA9BA78951C078B471C45A8C2840,Unknown,Aerosucre Colombia,2,unknown area,Aruba,sea,"September 16, 1976",Cargo,Ernesto Cortissoz International Airport in Colombia,Queen Beatrix International Airport in Aruba,19760916-0,Curtiss C-46D Commando,0,19760916-0,2016-09-01,1976,18,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000009F008A9125C451C057E9EE3A1BC22F40,En route,Inair Panama,2,between Curaçao and Port-au-Prince [Caribbean Sea],Haiti,sea,"November 5, 1976",Cargo,Hato International Airport in Curaçao,Port-au-Prince-Mais Gate Airport in Haiti,19761105-0,Douglas DC-3,0,19761105-0,2005-11-01,1976,19,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000BCB0355B797A54C00CE71A6668942340,En route,Cooperativa de Montecillos,4,65 km off Bocas del Toro,Panama,sea,"June 30, 1977",Cargo,Juan Santamaria International Airport in Costa Rica,Simón Bolívar International Airport in Venezuela,19770630-0,Lockheed L-188CF Electra,0,19770630-0,1930-06-01,1977,20,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000F33977BB5E7F51C09C8713984EBD40C0,En route,Aerotransportes Entre Rios,5,near Santiago,Chile,land,"July 20, 1972",Cargo,Carrasco Airport in Uruguay,"Santiago, Chile",19720720-0,Canadair CC-106 Yukon,,19720720-0,2020-07-01,1972,21,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E610000086AE44A0FA565940C66D3480B7E03340,En route,Air America,4,81 km W of Luang Prabang,Laos,land,"December 27, 1971",Military,Udon Thani air base in Thailand,Ban Xieng Lom Airstrip in Laos,19711227-0,Fairchild C-123K Provider,,19711227-0,2027-12-01,1971,22,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000026553AEF0CE0B40016C4084B8C04240,En route,Rousseau Aviation,30,90 km NNE off Algiers,Algeria,sea,"December 31, 1970",Int'l Non Scheduled Passenger,Algiers-Dar el Beida Airport in Algeria,Menorca-Mahón Airport in Spain,19701231-0,Nord 262E,,19701231-0,1931-12-01,1970,23,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000EC4D0CC9C91D51C067F0F78BD9822D40,En route,Aerocosta Colombia,4,unknown area,Caribbean Sea,sea,"April 10, 1970",Cargo,Santa Marta Airport in Colombia,Pointe-a-Pitre-Le Raizet Airport in Guadeloupe,19700410-1,Curtiss C-46D Commando,,19700410-1,2010-04-01,1970,24,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000005B5EB9DE366350C0F67B629D2A0B3340,En route,San Juan Air,2,off San Juan,Atlantic Ocean,sea,"October 11, 1969",Ferry/positioning,"Inagua Airport, Turks and Caicos Islands",unknown airport,19691011-1,Britten-Norman BN-2A Islander,,19691011-1,2011-10-01,1969,25,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000EE42739D46945CC045A165DD3F5E3D40,En route,Executive Aviation,10,within Baja,Mexico,land,"December 20, 1966",Demonstration,San Diego International Airport in California,La Paz Airport in Mexico,19661220-0,Lockheed 18 Lodestar,,19661220-0,2020-12-01,1966,26,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000005436ACA92C8A11C0C1FF56B2630F5040,En route,Soviet Air Force,23,unknown area,North Atlantic,sea,"July 18, 1970",Cargo,Keflavík International Airport in Iceland,Sydney Airport in Australia,19700718-0,Antonov 22,,19700718-0,2018-07-01,1970,27,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000A94E07B21E4860C09F56D11F9AB94040,En route,Thai Government,3,840 km off U.S. coast,Pacific Ocean,sea,"July 25, 1966",Ferry/positioning,San Francisco International Airport in California,Honolulu International Airport in Hawaii,19660725-1,Douglas DC-3-362,,19660725-1,2025-07-01,1966,28,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000000EF450DB86DF5A40F39194F430B42F40,En route,United States Air Force,7,near A Roh,Vietnam,land,"March 13, 1966",Military,Da Nang Airport,"Da Nang Airport, within Vietnam",19660313-0,Douglas AC-47D Spooky,,19660313-0,2013-03-01,1966,29,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000EE409DF2E8E05A40C59272F739823540,En route,United States Air Force,4,16 km from Khe Sanh,Vietnam,land,"February 3, 1966",Military,Khe Sanh,"Dong Ha Air Base, within Vietnam",19660203-0,Fairchild C-123B Provider,,19660203-0,2003-02-01,1966,30,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
