the_geom,phase,operator,total_occupants,presumed_accident_location,country,presumed_area,date,nature,departure_airport,intended_destination,asn_id,type,mh370,month_and_day_asn_id,month_and_day,year,cartodb_id,created_at,updated_at
0101000020E6100000B08C0DDDEC1263C098FBE42840D24D40,En route,United States Air Force,20,"between Anchorage and Kodiak, Alaska",USA,sea,"November 15, 1952",Military,Anchorage-Elmendorf air force base,"Kodiak naval air station, within Alaska",19521115-0,Fairchild C-119C Flying Boxcar,,19521115-0,2015-11-01,1952,47,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000009F03CB1132B641C0C39CA04D0EB94340,En route,United States Air Force,12,unknown area,North Atlantic,sea,"October 15, 1951",Military,Terceira-Lajes Airport in the Azores,"Springfield-Westover air force base, Massachusetts",19511015-1,Boeing C-97A Stratofreighter,,19511015-1,2015-10-01,1951,48,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000ED66463F1A4A54C087E123624ABC2240,En route,PARSA,1,unknown area,Panama,sea,"December 29, 2002",Ferry/positioning,Bocas Del Toro Airport,"Marcos A. Gelabert International Airport, within Panama",20021229-0,Britten-Norman BN-2A-7 Islander,,20021229-0,2029-12-01,2002,49,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000FAB836548C714DC0E6E5B0FB8E711040,En route,Air Services,2,unknown area,Guyana,land,"December 28, 2014",Cargo,Mahdia Airport,"Karisparu Airport, within Guyana",20141228-1,Britten-Norman BN-2A-6 Islander,,20141228-1,2028-12-01,2014,50,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000002330D63730392B40F27A30293E7620C0,En route,Grupo Chicoil,3,near Caxito,Angola,land,"May 21, 2010",Executive,"Pointe Noire Airport, Congo",Luanda Airport in Angola,20100521-0,Beechcraft 200 Super King Air,,20100521-0,2021-05-01,2010,51,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000F697DD9307E86340C8957A16846226C0,En route,Solomon Islands Airlines,11,off Bellona Island,Solomon Islands,sea,"October 22, 1978",Domestic Scheduled Passenger,Bellona Airport,Honiara-Henderson International Airport in the Solomon Islands,19781022-1,IRMA/Britten-Norman BN-2A Islander,,19781022-1,2022-10-01,1978,52,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E61000004356B77A4E515FC02444F98216AE4940,En route,Wilderness Airline,4,"near Mount Waddington, British Columbia",Canada,land,"December 4, 1987",Domestic Scheduled Passenger,Bella Coola Airport,Campbell River Airport within Canada,19871204-0,Britten-Norman BN-2A-6 Islander,,19871204-0,2004-12-01,1987,53,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000492A53CC415D6040AE62F19BC2EE4140,En route,United States Air Force,4,Sea of Japan,Pacific Ocean,sea,"October 15, 1950",Military,Seoul-Gimpo (Kimpo) International Airport in South Korea,"Brady air force base, Japan",19501015-0,Douglas C-47A (DC-3),,19501015-0,2015-10-01,1950,54,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000448655BC912D53C04356B77A4E5A1240,En route,Fuerza Aérea Colombiana,4,near Cali,Colombia,land,"February 6, 1950",Military,Albrook air force base in Panama,Cali Airport in Colombia,19500206-0,Douglas C-47 (DC-3),,19500206-0,2006-02-01,1950,55,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
0101000020E6100000EA25C632FDB843C0D47D00529B6034C0,Unknown,Aerovias Brasil,6,"near Vitoria, ES",Brazil,sea,"December 19, 1949",Training,Vitória-Goiabeiras Airport,"Vitória-Goiabeiras Airport, within Brazil",19491219-0,Douglas C-47A Dakota III,,19491219-0,2019-12-01,1949,56,2015-03-07 15:01:41.573087+00,2015-03-07 15:01:41.573087+00
